,name,price,ratings,image
59,MILLENA GROW® - BBQ Oil Brush Bottle for Cooking with Silicone Oil Brush - 150 ML (1),Rs. 399,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41VDNOgJzpS._AC_UL320_.jpg
60,Stainless Steel Manual Hand Pump for 15 kg Oil Tin | Kitchen Plastic Cooking Oil Pump-Manual Hand Oil Pump (Multi Color) (Pack of 01),Rs. 249,4.6 out of 5 stars,https://m.media-amazon.com/images/I/51sgf7-lLeL._AC_UL320_.jpg
61,Ikai Asai Hand Crafted Black Clay Medium Cooking Pot,"Rs. 6,000",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61kV4o9Dd4L._AC_UL320_.jpg
62,AmazonBasics Non-Stick 8-Piece Cookware Set,"Rs. 2,529",4.2 out of 5 stars,https://m.media-amazon.com/images/I/715qOOqdKNL._AC_UL320_.jpg
63,Cooking (Chic Simple),"Rs. 4,665",4.6 out of 5 stars,https://m.media-amazon.com/images/I/41KX5AF5D7L._AC_UL320_.jpg
64,LB RAY Cooking Spray Sunflower Oil - 200ml Low Calorie 100% Oil Spray,Rs. 350,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61-1-iVhldL._AC_UL320_.jpg
65,Cable World Plastic Luxury Kitchen Set Cooking Toy with Briefcase and Accessories (Yellow),Rs. 371,3.9 out of 5 stars,https://m.media-amazon.com/images/I/713XyzdZ2IL._AC_UL320_.jpg
66,SeGrand Clay Kadai (2 L) with Handle and Lid for Cooking on Gas - Unglazed and Non Coated Hand Crafted Terracotta Earthen Pot - Brown,Rs. 789,3.5 out of 5 stars,https://m.media-amazon.com/images/I/710c8wI7fFL._AC_UL320_.jpg
67,"COOKING: IT AIN'T ROCKET SCIENCE: Master Sophisticated Recipes Using a Ridiculously Easy Step-by-Step Method (Baking: Desserts, Pastry & Bread Book 1)",Rs. 265,4.8 out of 5 stars,https://m.media-amazon.com/images/I/81xhIk5FuZL._AC_UL320_.jpg
68,"KBS Food-Grade Plastic 1 litres Oil Dispenser for Cooking, Easy Flow Oil and Vinegar Bottle, Oil Pourer, Liquid Dispenser, Transparent, Unbreakable",Rs. 160,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41usK8F9cTS._AC_UL320_.jpg
